"Date","Price","Open","High","Low","Vol.","Change"
"Dec 31, 2021","46,219.5","47,123.3","48,553.9","45,693.6","58.18K","-1.92"
"Dec 30, 2021","47,123.3","46,470.7","47,901.4","46,003.0","60.96K","1.42"
"Dec 29, 2021","46,461.7","47,548.4","48,121.7","46,127.8","63.92K","-2.28"
"Dec 28, 2021","47,545.2","50,703.4","50,703.8","47,345.7","74.39K","-6.18"
"Dec 27, 2021","50,678.2","50,783.6","52,016.3","50,459.0","43.90K","-0.20"
"Dec 26, 2021","50,779.9","50,404.0","51,247.0","49,527.0","32.34K","0.74"
"Dec 25, 2021","50,406.4","50,789.6","51,140.2","50,196.8","26.67K","-0.75"
"Dec 24, 2021","50,786.1","50,807.4","51,795.3","50,428.4","45.97K","-0.03"
"Dec 23, 2021","50,801.0","48,599.6","51,355.6","48,053.4","56.24K","4.53"
"Dec 22, 2021","48,599.7","48,898.7","49,540.3","48,449.7","40.89K","-0.62"
"Dec 21, 2021","48,902.0","46,900.1","49,306.1","46,654.0","57.88K","4.28"
"Dec 20, 2021","46,895.2","46,703.4","47,488.9","45,577.3","57.53K","0.41"
"Dec 19, 2021","46,704.5","46,855.7","48,270.2","46,438.4","44.05K","-0.32"
"Dec 18, 2021","46,856.2","46,171.8","47,330.2","45,513.4","36.93K","1.48"
"Dec 17, 2021","46,172.2","47,630.4","47,997.2","45,523.8","67.50K","-3.06"
"Dec 16, 2021","47,628.2","48,876.6","49,387.8","47,543.9","48.20K","-2.54"
"Dec 15, 2021","48,871.5","48,366.2","49,477.9","46,572.6","80.28K","1.04"
"Dec 14, 2021","48,366.5","46,709.8","48,635.0","46,338.3","62.54K","3.56"
"Dec 13, 2021","46,703.6","50,075.9","50,196.1","45,848.2","80.37K","-6.74"
"Dec 12, 2021","50,081.0","49,332.5","50,779.2","48,670.5","40.30K","1.55"
"Dec 11, 2021","49,314.5","47,138.4","49,487.0","46,834.0","45.23K","4.62"
"Dec 10, 2021","47,137.2","47,591.7","49,974.8","47,007.1","68.06K","-0.97"
"Dec 09, 2021","47,596.6","50,477.6","50,790.2","47,341.9","58.69K","-5.70"
"Dec 08, 2021","50,473.9","50,596.6","51,204.7","48,700.7","55.59K","-0.24"
"Dec 07, 2021","50,595.2","50,547.4","51,918.6","50,070.9","56.29K","0.07"
"Dec 06, 2021","50,562.1","49,412.1","50,913.3","47,237.9","89.68K","2.34"
"Dec 05, 2021","49,405.5","49,196.4","49,689.3","47,797.8","72.03K","0.43"
"Dec 04, 2021","49,195.2","53,620.7","53,847.2","42,587.8","168.00K","-8.27"
"Dec 03, 2021","53,631.5","56,495.2","57,543.6","52,008.9","89.20K","-5.07"
"Dec 02, 2021","56,496.0","57,207.8","57,377.5","55,807.9","54.94K","-1.25"
"Dec 01, 2021","57,210.3","56,891.7","59,064.3","56,496.5","66.75K","0.58"
"Nov 30, 2021","56,882.9","57,795.2","59,174.4","55,936.9","73.66K","-1.58"
"Nov 29, 2021","57,794.8","57,288.1","58,855.2","56,726.7","58.65K","0.88"
"Nov 28, 2021","57,291.5","54,758.0","57,392.3","53,448.3","49.28K","4.61"
"Nov 27, 2021","54,765.9","53,747.2","55,280.3","53,654.3","40.71K","1.93"
"Nov 26, 2021","53,730.9","58,937.3","59,151.1","53,533.5","104.03K","-8.83"
"Nov 25, 2021","58,935.1","57,167.1","59,387.3","57,029.8","56.79K","3.08"
"Nov 24, 2021","57,171.7","57,559.4","57,697.4","55,910.6","56.68K","-0.70"
"Nov 23, 2021","57,573.2","56,304.8","57,855.1","55,542.5","72.48K","2.25"
"Nov 22, 2021","56,308.8","58,719.7","59,288.3","55,656.8","76.45K","-4.10"
